handle               # matches    rating       vol
hhanger                     12      2221       271
watashi                     12      2161       218
Fire                        12      1903       287
dd_engi                     12      1723       397
xgy                         12      1664       199
Ouyang_Jialin               12      1538       254
Fanazhe                     12      1462       317
asmn                        12      1406       244
T_T                         12      1331       287
moondy                      12      1317       255
happylinyue                 12      1297       408
hsys                        12      1252       249
EZdestroyer                 12      1165       195
relive                      12      1120       362
winsty                      12      1105       325
navj                        12      1104       275
yuzhirenzhe                 12      1007       363
owen200402                  12       947       285
wanwei                      10       799       342
classT                      12       782       346
liu3063031168               12       760       207
ljzhao                      11       742       354
wyest                       12       668       332
vivyli                      11       613       267
aaahexing                   12       607       428
aaron35203432               12       498       323
