rank   handle               # matches    rating       vol
1      oldjunyi                    12      2101       226
2      Fanazhe                     12      1984       294
3      navi                        12      1770       206
4      edward                      12      1636       280
5      vout                        11      1582       306
6      ZhouYuChen                  12      1492       202
7      chnluyi                     12      1412       246
8      hzwlzrj                     12      1410       238
9      huangqiao                   12      1405       289
10     Ufotalent                   12      1379       309
11     Pi                          12      1360       292
12     ployee                      12      1245       142
13     delta_4d                    12      1223       285
14     riversouther                12      1147       252
15     yuxingdubai                 12      1126       216
16     EZ_dla                      11      1115       243
17     wumuxie                     12      1088       263
18     zxfx100                     12       982       344
19     scorpiodreamer              12       963       219
20     Clark                       11       951       275
21     ltr199010                   12       929       274
22     wizard1990                  11       798       175
22     minusUfotalent              10       798       276
24     Stephen                     10       757       287
25     DeAdCaT___                  11       737       107
26     Zoro11010                   10       733       152
27     guinao                      12       722       193
